year,fire_name,acres,county,latitude,longitude
2005,1,0.1,Plumas,40.03694444,-121.00583333
2004,2,0.25,El Dorado,38.93305556,-120.40444444
2004,3,0.1,El Dorado,38.98416667,-120.73555556
2004,4,0.1,Alpine,38.55916667,-119.91333333
2004,5,0.1,Alpine,38.55916667,-119.93305556
2004,6,0.1,Amador,38.63527778,-120.10361111
2004,7,0.1,El Dorado,38.68833333,-120.15333333
2005,8,0.8,Shasta,40.96805556,-122.43388889
2005,9,1.0,Siskiyou,41.23361111,-122.28333333
2004,10,0.1,Amador,38.54833333,-120.14916667
2004,11,0.1,El Dorado,38.69166667,-120.15972222
2004,12,0.1,Amador,38.5275,-120.10611111
2004,13,0.1,El Dorado,38.78666667,-120.19333333
2004,14,6.0,Calaveras,38.43333333,-120.51
2004,15,0.2,El Dorado,38.67583333,-120.27972222
2004,16,0.1,El Dorado,38.56416667,-120.54222222
2004,17,16823.0,Amador,38.52333333,-120.21166667
2004,18,7700.0,El Dorado,38.78,-120.26
2004,19,0.1,El Dorado,38.945,-120.41166667
2005,78,0.1,Humboldt,41.03722222,-123.53305556
2005,89,0.1,Los Angeles,34.17444444,-117.765
2005,90,0.5,Los Angeles,34.15388889,-117.84111111
2005,92,0.1,El Dorado,38.98388889,-120.8025
2005,97,0.1,Alpine,38.70027778,-119.84055556
2005,98,0.01,Mono,38.45361111,-119.45861111
2005,107,0.1,Riverside,33.66666667,-117.37638889
2005,108,0.1,Mono,38.35361111,-119.37805556
2005,111,10.0,Riverside,33.71888889,-117.43361111
2005,112,0.1,Fresno,37.04416667,-119.34388889
2005,135,0.5,Alpine,38.83972222,-119.88638889
2005,150,0.1,Kern,35.76888889,-118.43527778
2005,153,0.1,Mono,38.22666667,-119.34666667
2005,156,0.1,Mono,38.16888889,-119.31694444
2005,158,3.0,Ventura,34.74833333,-119.41027778
2005,159,0.1,Monterey,35.88361111,-121.45694444
2005,160,0.1,Monterey,36.21805556,-121.49916667
2005,161,0.1,Monterey,36.44833333,-121.58277778
2005,162,0.5,Mono,38.29444444,-119.54
2005,163,0.1,Mono,38.22222222,-119.38694444
2005,164,0.1,Mono,38.3575,-119.36111111
2005,167,0.1,Mono,37.53055556,-118.62722222
2005,168,0.1,Mono,37.515,-118.59833333
2005,174,2.0,Tuolumne,37.94027778,-120.12166667
2005,175,0.1,Alpine,38.76388889,-119.85388889
2005,181,4.2,Santa Barbara,34.46666667,-119.82833333
2005,182,90.0,San Luis Obispo,35.13583333,-120.0025
2005,183,0.1,Kern,34.855,-119.07388889
2005,184,0.1,Santa Barbara,34.49638889,-119.85111111
2005,185,0.3,Monterey,36.2425,-121.55111111
2005,186,0.1,Monterey,36.2425,-121.54805556
2005,187,1.0,Ventura,34.47138889,-119.195
2005,207,0.3,Kern,35.63833333,-118.28111111
2005,211,0.25,Kern,35.64694444,-118.46361111
2005,214,0.25,Kern,35.66305556,-118.44361111
2005,215,1.1,Kern,35.70222222,-118.45361111
2005,216,0.25,Alpine,38.65861111,-119.75138889
2005,218,0.1,Kern,35.67861111,-118.40944444
2005,221,0.25,Kern,35.64972222,-118.41638889
2005,222,0.1,Alpine,38.67055556,-119.76722222
2005,223,0.1,Kern,35.695,-118.46027778
2005,225,2.5,Kern,35.64138889,-118.33666667
2005,227,0.1,Mono,38.35,-119.35
2005,228,0.1,Mono,38.29888889,-119.56527778
2005,229,2.1,Kern,35.68166667,-118.45888889
2005,230,0.1,Mono,38.05444444,-119.25194444
2005,233,0.1,Kern,35.45805556,-118.78305556
2005,234,89.0,Mono,38.57361111,-119.55472222
2005,236,0.1,Kern,35.46444444,-118.75638889
2005,237,0.1,Mono,38.35111111,-119.32722222
2005,238,0.1,Mono,38.35027778,-119.33083333
2005,239,0.1,Mono,38.34444444,-119.33333333
2005,330,0.25,Alpine,38.76583333,-119.88777778
2005,358,0.1,Los Angeles,34.16222222,-117.68166667
2005,376,0.1,Los Angeles,34.24222222,-117.85583333
2005,382,0.1,Los Angeles,34.22388889,-117.6675
2005,387,0.1,El Dorado,38.89694444,-120.7825
2005,389,0.1,Los Angeles,34.12222222,-117.75055556
2005,396,0.1,Tulare,35.88638889,-118.46111111
2005,398,0.1,San Bernardino,34.25,-117.63666667
2005,399,0.1,Kern,35.76805556,-118.43611111
2005,403,0.1,Los Angeles,34.16805556,-117.76861111
2005,404,0.1,Los Angeles,34.15166667,-117.74361111
2005,406,2.3,Plumas,39.81722222,-120.45111111
2005,414,0.1,San Diego,32.82027778,-116.58972222
2005,415,0.2,Los Angeles,34.18638889,-117.87138889
2005,418,0.1,San Diego,32.73472222,-116.68472222
2005,419,0.1,Ventura,34.68694444,-119.10805556
2005,459,8.0,Lake,39.11222222,-122.81666667
2005,461,0.1,Lassen,40.42666667,-121.04944444
2005,473,0.1,Alpine,38.79083333,-119.85972222
2005,513,0.1,Alpine,38.68,-119.63583333
